pv_to_load_w,batt_to_load_w,grid_to_load_w,pv_surplus_w,charged_to_batt_w,soc,critical_pv_w,critical_batt_w,critical_grid_w,critical_unmet_w,essential_pv_w,essential_batt_w,essential_grid_w,essential_unmet_w,nonessential_pv_w,nonessential_batt_w,nonessential_grid_w,nonessential_unmet_w
0.0,1136.5932351212896,0.0,0.0,0.0,0.6948523857105013,0.0,1066.5932351212896,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1139.8889046022068,0.0,0.0,0.0,0.689689845381687,0.0,1069.8889046022068,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1140.7681308978786,0.0,0.0,0.0,0.684523323049722,0.0,1070.7681308978786,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1139.9346105038117,0.0,0.0,0.0,0.6793605757195417,0.0,1069.9346105038117,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1135.8651157999202,0.0,0.0,0.0,0.6742162590718971,0.0,1065.8651157999202,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1139.8217599209743,0.0,0.0,0.0,0.669054022840371,0.0,1069.8217599209743,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1137.3910609989903,0.0,0.0,0.0,0.663902795209035,0.0,1067.3910609989903,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1141.33934509766,0.0,0.0,0.0,0.6587336858562376,0.0,1071.33934509766,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1140.7331964921937,0.0,0.0,0.0,0.6535673217416896,0.0,1070.7331964921937,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1138.1202404273454,0.0,0.0,0.0,0.6484127916672904,0.0,1068.1202404273454,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
